shard,gold_dataset,gold_scan,atlas_bdmap_id,match_type,corr32
shard06,AMOS,amos_0048.nii.gz,BDMAP_00002946,shape+corr,1.0000
shard06,AMOS,amos_0052.nii.gz,BDMAP_00002825,shape+corr,1.0000
shard06,AMOS,amos_0162.nii.gz,BDMAP_00002976,exact,1.0000
shard06,AMOS,amos_0185.nii.gz,BDMAP_00002536,exact,1.0000
shard06,AMOS,amos_0186.nii.gz,BDMAP_00002734,shape+corr,1.0000
shard06,AMOS,amos_0299.nii.gz,BDMAP_00002544,shape+corr,1.0000
shard06,AMOS,amos_0341.nii.gz,BDMAP_00002561,shape+corr,1.0000
shard06,AMOS,amos_0349.nii.gz,BDMAP_00002937,shape+corr,1.0000
shard06,AMOS,amos_0378.nii.gz,BDMAP_00002859,shape+corr,1.0000
shard06,AMOS,amos_0402.nii.gz,BDMAP_00002660,shape+corr,1.0000
shard06,AMOS,amos_0408.nii.gz,BDMAP_00002554,shape+corr,1.0000
shard06,BTCV,img0033.nii.gz,BDMAP_00002639,exact,1.0000
shard06,FLARE,FLARE22_Tr_0029_0000.nii.gz,BDMAP_00002896,shape+corr,1.0000
shard06,FLARE,FLARE22_Tr_0032_0000.nii.gz,BDMAP_00002688,shape+corr,1.0000
shard06,FLARE,FLARE22_Tr_0040_0000.nii.gz,BDMAP_00002829,shape+corr,1.0000
shard07,AMOS,amos_0005.nii.gz,BDMAP_00003182,shape+corr,1.0000
shard07,AMOS,amos_0007.nii.gz,BDMAP_00003139,shape+corr,1.0000
shard07,AMOS,amos_0024.nii.gz,BDMAP_00003041,exact,1.0000
shard07,AMOS,amos_0035.nii.gz,BDMAP_00003112,exact,1.0000
shard07,AMOS,amos_0042.nii.gz,BDMAP_00003264,exact,1.0000
shard07,AMOS,amos_0057.nii.gz,BDMAP_00003293,shape+corr,1.0000
shard07,AMOS,amos_0092.nii.gz,BDMAP_00003303,exact,1.0000
shard07,AMOS,amos_0094.nii.gz,BDMAP_00003445,exact,1.0000
shard07,AMOS,amos_0098.nii.gz,BDMAP_00003006,exact,1.0000
shard07,AMOS,amos_0110.nii.gz,BDMAP_00003297,exact,1.0000
shard07,AMOS,amos_0113.nii.gz,BDMAP_00003045,shape+corr,1.0000
shard07,AMOS,amos_0121.nii.gz,BDMAP_00003291,exact,1.0000
shard07,AMOS,amos_0126.nii.gz,BDMAP_00003072,exact,1.0000
shard07,AMOS,amos_0156.nii.gz,BDMAP_00003471,exact,1.0000
shard07,AMOS,amos_0160.nii.gz,BDMAP_00003410,exact,1.0000
shard07,AMOS,amos_0170.nii.gz,BDMAP_00003423,exact,1.0000
shard07,AMOS,amos_0180.nii.gz,BDMAP_00003351,shape+corr,1.0000
shard07,AMOS,amos_0190.nii.gz,BDMAP_00003127,exact,1.0000
shard07,AMOS,amos_0245.nii.gz,BDMAP_00003340,shape+corr,1.0000
shard07,AMOS,amos_0254.nii.gz,BDMAP_00003246,shape+corr,1.0000
shard07,AMOS,amos_0273.nii.gz,BDMAP_00003317,shape+corr,1.0000
shard07,AMOS,amos_0274.nii.gz,BDMAP_00003285,shape+corr,1.0000
shard07,AMOS,amos_0301.nii.gz,BDMAP_00003242,shape+corr,1.0000
shard07,AMOS,amos_0367.nii.gz,BDMAP_00003227,shape+corr,1.0000
